area_code,area_name_english,area_name_japanese,population,median_age,state_code,state_name,state_name_japanese,area_name_japanese_wo_state
03301,Iwate-ken Shizukuishi-cho,岩手県 雫石町,15731,57.5,03,iwate,岩手県,雫石町
03302,Iwate-ken Kuzumaki-machi,岩手県 葛巻町,5634,64.1,03,iwate,岩手県,葛巻町
03303,Iwate-ken Iwate-machi,岩手県 岩手町,12285,58.8,03,iwate,岩手県,岩手町
03321,Iwate-ken Shiwa-cho,岩手県 紫波町,32147,51.6,03,iwate,岩手県,紫波町
03322,Iwate-ken Yahaba-cho,岩手県 矢巾町,28056,47.3,03,iwate,岩手県,矢巾町
03366,Iwate-ken Nishiwaga-machi,岩手県 西和賀町,5134,65.5,03,iwate,岩手県,西和賀町
03381,Iwate-ken Kanegasaki-cho,岩手県 金ケ崎町,15535,49.9,03,iwate,岩手県,金ケ崎町
03402,Iwate-ken Hiraizumi-cho,岩手県 平泉町,7252,57.9,03,iwate,岩手県,平泉町
03441,Iwate-ken Sumita-cho,岩手県 住田町,5045,62.3,03,iwate,岩手県,住田町
03461,Iwate-ken Otsuchi-cho,岩手県 大槌町,11004,57.4,03,iwate,岩手県,大槌町
03482,Iwate-ken Yamada-machi,岩手県 山田町,14320,57.4,03,iwate,岩手県,山田町
03483,Iwate-ken Iwaizumi-cho,岩手県 岩泉町,8726,61.7,03,iwate,岩手県,岩泉町
03484,Iwate-ken Tanohata-mura,岩手県 田野畑村,3059,60.7,03,iwate,岩手県,田野畑村
03485,Iwate-ken Fudai-mura,岩手県 普代村,2487,61.1,03,iwate,岩手県,普代村
03501,Iwate-ken Karumai-machi,岩手県 軽米町,8421,60.2,03,iwate,岩手県,軽米町
03503,Iwate-ken Noda-mura,岩手県 野田村,3936,57.6,03,iwate,岩手県,野田村
03506,Iwate-ken Kunohe-mura,岩手県 九戸村,5378,61.5,03,iwate,岩手県,九戸村
03507,Iwate-ken Hirono-cho,岩手県 洋野町,15091,59.8,03,iwate,岩手県,洋野町
03524,Iwate-ken Ichinohe-machi,岩手県 一戸町,11494,60.7,03,iwate,岩手県,一戸町
